title,summary,authors,updated,published
"top-quark pole mass extraction at nnlo accuracy, from total, single- and
  double-differential cross sections for $t\bar{t}+x$ production at the lhc","We extract the top-quark mass value in the on-shell renormalization scheme
from the comparison of theoretical predictions for $pp \rightarrow t\bar{t} +
X$ at next-to-next-to-leading order (NNLO) QCD accuracy with experimental data
collected by the ATLAS and CMS collaborations for absolute total, normalized
single-differential and double-differential cross-sections during Run 1, Run 2
and the ongoing Run 3 at the Large Hadron Collider (LHC). For the theory
computations of heavy-quark pair-production we use the MATRIX framework,
interfaced to PineAPPL for the generation of grids of theory predictions, which
can be efficiently used a-posteriori during the fit, performed within xFitter.
We take several state-of-the-art parton distribution functions (PDFs) as input
for the fit and evaluate their associated uncertainties, as well as the
uncertainties arising from renormalization and factorization scale variation.
Fit uncertainties related to the datasets are also part of the extracted
uncertainty of the top-quark mass and turn out to be of similar size as the
combined scale and PDF uncertainty. Fit results from different PDF sets agree
among each other within 1$\sigma$ uncertainty, whereas some datasets related to
$t\bar{t}$ decay in different channels (dileptonic vs. semileptonic) point
towards top-quark mass values in slight tension among each other, although
still compatible within $2.5 \sigma$ accuracy. Our results are compatible with
the PDG 2022 top-quark pole-mass value. Our work opens the road towards more
complex simultaneous NNLO fits of PDFs, the strong coupling $\alpha_s(M_Z)$ and
the top-quark mass, using the currently most precise experimental data on
$t\bar{t} + X$ total and multi-differential cross-sections from the LHC.","{'J. Mazzitelli', 'S. -O. Moch', 'O. Zenaiev', 'M. V. Garzelli'}",2023-11-21T18:51:25Z,2023-11-09 16:49:59+00:00
polarised-boson pairs at the lhc with nlops accuracy,"We present a calculation of inclusive diboson (WZ, ZZ, WW) processes at the
LHC in the presence of intermediate polarised weak bosons decaying
leptonically, matching next-to-leading-order accuracy in QCD with parton-shower
effects. Starting from recent developments in polarised-boson simulation based
on the helicity selection at the amplitude level, we have carried out the
implementation in the POWHEG-BOX-RES framework, and validated it against
independent fixed-order calculations. A phenomenological analysis in realistic
LHC setups, as well as a comparison with recent ATLAS measurements, are
presented.","{'Giovanni Pelliccioli', 'Giulia Zanderighi'}",2023-11-09T09:07:56Z,2023-11-09 09:07:56+00:00
"searches for new physics models via the same-sign diboson (ssdb) +
  ${e\!\!/}_{t}$ and precise measurement of top quark features at the lhc","Till today, although the Standard Model (SM) is the most celebrated theory
that explains nature almost completely, there are still some phenomena observed
in nature that the SM cannot explain. That is why it is needed to look for
theories beyond the Standard Model (BSM). While the ATLAS/CMS experiments
discovered a Standard Model-like Higgs boson at the Large Hadron Collider
(LHC), no compelling new physics signal has been seen yet. Several searches
have been performed at the LHC to look for new physics signal. One such novel
signal is the same-sign diboson (SSdB) + ${E\!\!/}_{T}$ which is a rather clean
signal with negligibly small SM background. Such a unique signature can be
observed in more than one well-motivated BSM scenarios, namely: (i) natural
SUSY models, (ii) type-III seesaw model and (iii) type-II
seesaw/Georgi-Machacek model. In the first part of this poster I present the
discovery prospects of this signal that has been analyzed in these BSM models
in current and future runs of the LHC beside providing ways to distinguish
among these different BSM models. Furthermore, the LHC, being a ""top quark
factory"", helps in precise measurement of various properties of the top quark.
Deviation from the SM prediction in measuring these properties of the top quark
can, very efficiently, shed light on new physics signal. In the second part of
this poster I present a work in progress where we aim to show how precise
measurement of quantities related to top quark features can indicate towards a
new physics signal.",{'Dibyashree Sengupta'},2023-11-08T15:00:15Z,2023-11-08 15:00:15+00:00
toward global fits using higgs stxs data with lilith,"In this talk, we present the program Lilith, a python package for
constraining new physics from Higgs measurements. We discuss the usage of
signal strength results in the latest published version of Lilith, which allows
for constraining deviations from SM Higgs couplings through coupling modifiers.
Moreover, we discuss the on-going development to include Higgs STXS data and
SMEFT parametrizations in Lilith with the aim of performing global fits of the
ATLAS and CMS data. As we point out, detailed information on Standard Model
uncertainties and their correlations is important to enable the proper reuse of
the experimental results.","{'Dang Bao Nhi Nguyen', 'Duc Ninh Le', 'Van Dung Le', 'Sabine Kraml', 'Quang Loc Tran'}",2024-01-08T07:29:11Z,2023-11-03 16:55:04+00:00
lifetime of the dark $z$ boson,"The mediator particle between the Standard Model sector and a hidden sector
might have a long lifetime to show the observable displaced vertices in
experiments. Considering a fermionic dark matter model in which the hidden
sector is connected to the Standard Model by an additional Higgs doublet field,
the mediator dark $Z$ boson may live long enough. We explore the possibility to
observe the displaced vertices of the long-lived dark $Z$ boson at the CERN LHC
and at the proposed SHiP experiment. We find that the ATLAS and CMS searches
for the long-lived dark $Z$ boson can probe the mass range $7 < m_{Z'} <
150~{\rm MeV}$ with 150 fb$^{-1}$ integrated luminosity at the LHC run 3, and
the SHiP experiment will probe $2 m_e < m_{Z'} < 15~{\rm MeV}$ range with $6
\times 10^{20}$ protons on target in total 15 years. The dark matter
phenomenology is also discussed in the region where such a long-lived mediator
is detectable.","{'Dong-Won Jung', 'Kang Young Lee', 'Chaehyun Yu'}",2023-11-03T14:57:56Z,2023-11-03 14:57:56+00:00
"resummation schemes for high-electric-charge objects leading to improved
  experimental mass limits","High-Electric-Charge compact Objects (HECOs) appear in several theoretical
particle physics models beyond the Standard Model, and are actively searched
for in current colliders, such as the Large Hadron Collider at CERN. In such
searches, mass bounds of these objects have been placed, using Drell-Yan and
photon-fusion processes at tree level so far. However, such mass-bound
estimates are not reliable, given that, as a result of the large values of the
electric charge of the HECO, perturbative Quantum Electrodynamics calculations
break down. In this work, we perform a Dyson-Schwinger resummation scheme (as
opposed to lattice strong-coupling approach), which makes the computation of
the pertinent HECO-production cross sections reliable, thus allowing us to
extract improved mass bounds for such objects from ATLAS and MoEDAL searches.","{'Emanuela Musumeci', 'Vasiliki A. Mitsou', 'Jean Alexandre', 'Nick E. Mavromatos'}",2024-02-26T16:51:15Z,2023-10-26 15:00:23+00:00
"prospects for detecting long-lived particles at the large hadron
  collider","This thesis summarises four years of research aiming at revealing the
prospects for detection of long-lived particles at the LHC. It contains results
of four projects, which have been published as independent articles. Each of
the projects investigated prospects for the detection of long-lived particles
predicted by one of the many BSM models, e.g. supersymmetry, seesaw, radiative
neutrino mass generation models, and simplified models. The sensitivity to New
Physics of ATLAS, CMS and (for the first time) MoEDAL experiments was
estimated.",{'Rafał Masełek'},2023-10-20T18:10:15Z,2023-10-20 18:10:15+00:00
"how to measure the transverse polarization of the produced hadrons in a
  symmetric collider?","In this paper, some subtleties in the measurement of the transverse
polarization of the produced hadrons on symmetric colliders -- such as the
Large Hadron Collider when conducting the $pp$ collisions -- are revealed. It
can be proved that the transverse polarization of the produced particles with
opposite pseudorapidity takes exactly opposite values if the normal vector of
the production plane is defined in a convention-dependent way, regardless of
whether parity is conserved or not in the production process. The analysis
shows that, due to the symmetry of the initial state, the $\Lambda_b$
transverse polarization measured by the CMS collaboration in Phys. Rev. D 97,
072010 (2018) should be exactly equal to zero. A modified measurement of the
$\Lambda_b$ polarization for CMS and ATLAS is proposed, the result of which can
be compared to the LHCb measurement.",{'Zhen-Hua Zhang'},2023-12-24T00:33:54Z,2023-10-17 16:35:14+00:00
"interplay of inert doublet and vector-like lepton triplet with displaced
  vertices at the lhc/fcc and mathusla","We study the interaction between the inert Higgs doublet (IDM) dark matter
and a vector-like $SU(2)$ triplet lepton (VLL), both of which are $Z_2$-odd.
The vector current of the VLL with the $Z$-boson rules out a fermionic or
two-component dark matter scenario. However, a compressed mass spectrum and a
sufficiently small Yukawa coupling allows co-annihilation and late decay of the
VLL into the IDM sector, affecting the relic density of the pseudoscalar dark
matter. The same two factors enable displaced decay of the VLL states,
providing novel signatures involving hadronically quiet displaced multi-lepton
final states. Such signatures to probe the model are studied at the 14 and 27
TeV LHC, as well as the 100 TeV FCC-hh. In addition to being detectable at the
CMS/ATLAS experiments, if the new particles have sub-100 GeV masses, signals
can also be seen at the proposed MATHUSLA detector.","{'Mariana Frank', 'Priyotosh Bandyopadhyay', 'Snehashis Parashar', 'Chandrima Sen'}",2023-10-13T06:31:56Z,2023-10-13 06:31:56+00:00
"95 gev diphoton and $b \bar{b}$ excesses in the general next-to-minimal
  supersymmetric standard model","The CMS and ATLAS collaborations recently published their results searching
for light Higgs bosons, using the complete Run 2 data of the LHC. Both reported
an excess in the diphoton invariant mass distribution at $m_{\gamma \gamma}
\simeq 95.4~{\rm GeV}$ with compatible signal strengths. The combined result
corresponded to a local significance of $3.1\sigma$. Besides, the mass of the
diphoton signal coincided with that of the $b\bar{b}$ excess observed at the
LEP. Given the remarkable theoretical advantages of the general Next-to-Minimal
Supersymmetric Standard Model, we interpret these excesses by the resonant
productions of the singlet-dominated CP-even Higgs boson predicted by the
theory. Using both analytic formulae and numerical results, we show that the
idea can interpret the excesses by broad parameter space without contradicting
current experimental restrictions, including those from the 125~{\rm GeV} Higgs
data, the dark matter relic abundance and direct detection experiments, and the
collider searches for supersymmetry and extra Higgs bosons. Although the
explanations are scarcely affected by present Higgs data and the LHC search for
supersymmetry, the dark matter physics may leave footprints on them. We also
survey the other signals of the light Higgs boson at the LHC.","{'Junjie Cao', 'Jingwei Lian', 'Xinglong Jia', 'Lei Meng'}",2023-10-20T03:33:40Z,2023-10-12 15:58:58+00:00
"the right-handed slepton bulk region for dark matter in generalized
  no-scale $\mathcal{f}$-$su(5)$ with effective super-natural supersymmetry","We propose Generalized No-Scale Supergravity, the simplest scenario for
Effective Super-Natural Supersymmetry, naturally solving the supersymmetry
electroweak fine-tuning problem and including natural dark matter. A light
right-handed slepton bulk region is realized in $\mathcal{F}$-$SU(5)$ and the
pMSSM. The bulk may be beyond the LHC reach, though can be probed at the
1000-day LUX-ZEPLIN, Future Circular Collider (FCC-ee) at CERN, Circular
Electron Positron Collider (CEPC), and Hyper-Kamiokande.","{'Xiangwei Yin', 'James A. Maxin', 'Dimitri V. Nanopoulos', 'Tianjun Li'}",2023-10-18T02:57:18Z,2023-10-05 16:00:10+00:00
"significance of the negative binomial distribution in multiplicity
  phenomena","The negative binomial distribution (NBD) has been theorized to express a
scale-invariant property of many-body systems and has been consistently shown
to outperform other statistical models in both describing the multiplicity of
quantum-scale events in particle collision experiments and predicting the
prevalence of cosmological observables, such as the number of galaxies in a
region of space. Despite its widespread applicability and empirical success in
these contexts, a theoretical justification for the NBD from first principles
has remained elusive for fifty years. The accuracy of the NBD in modeling
hadronic, leptonic, and semileptonic processes is suggestive of a highly
general principle, which is yet to be understood. This study demonstrates that
a statistical event of the NBD can in fact be derived in a general context via
the dynamical equations of a canonical ensemble of particles in Minkowski
space. These results describe a fundamental feature of many-body systems that
is consistent with data from the ALICE and ATLAS experiments and provides an
explanation for the emergence of the NBD in these multiplicity observations.
Two methods are used to derive this correspondence: the Feynman path integral
and a hypersurface parametrization of a propagating ensemble.",{'S. V. Tezlaf'},2023-10-05T09:37:38Z,2023-10-05 09:37:38+00:00
"first shot of the smoking gun: probing the electroweak phase transition
  in the 2hdm with novel searches for $a \to zh$ in $\ell^+ \ell^- t \bar{t}$
  and $ννb \bar{b}$ final states","Recently the ATLAS collaboration has reported the first results of searches
for heavy scalar resonances decaying into a $Z$ boson and a lighter new scalar
resonance, where the $Z$ boson decays leptonically and the lighter scalar
decays into a top-quark pair, giving rise to $\ell^+ \ell^- t \bar{t}$ final
states. This had previously been identified as a smoking-gun signature at the
LHC for a first-order electroweak phase transition (FOEWPT) within the
framework of two Higgs doublet models (2HDMs). In addition, ATLAS also
presented new limits where the $Z$ boson decays into pairs of neutrinos and the
lighter scalar resonance into bottom-quark pairs, giving rise to the $\nu \nu b
\bar b$ final state. We analyze the impact of these new searches on the 2HDM
parameter space, with emphasis on their capability to probe currently allowed
2HDM regions featuring a strong FOEWPT. We also study the complementarity of
these new searches with other LHC probes that could target the FOEWPT region of
the 2HDM. Remarkably, the ATLAS search in the $\ell^+ \ell^- t \bar{t}$ final
state shows a local $2.85\,\sigma$ excess (for masses of about 650 GeV and 450
GeV for the heavy and light resonance) in the 2HDM parameter region that would
yield a FOEWPT in the early universe, which could constitute the first
experimental hint of baryogenesis at the electroweak scale. We analyze the
implications of this excess, and discuss the detectability prospects for the
associated gravitational wave signal from the FOEWPT. Furthermore, we project
the sensitivity reach of the $\ell^+ \ell^- t \bar{t}$ signature for the
upcoming runs of the LHC. Finally, we introduce the python package thdmTools, a
state-of-art tool for the exploration of the 2HDM.","{'Kateryna Radchenko', 'Jose Miguel No', 'Georg Weiglein', 'Thomas Biekötter', 'María Olalla Olea Romacho', 'Sven Heinemeyer'}",2024-03-11T13:32:44Z,2023-09-29 17:42:05+00:00
"software citation in hep: current state and recommendations for the
  future","In November 2022, the HEP Software Foundation and the Institute for Research
and Innovation for Software in High-Energy Physics organized a workshop on the
topic of Software Citation and Recognition in HEP. The goal of the workshop was
to bring together different types of stakeholders whose roles relate to
software citation, and the associated credit it provides, in order to engage
the community in a discussion on: the ways HEP experiments handle citation of
software, recognition for software efforts that enable physics results
disseminated to the public, and how the scholarly publishing ecosystem supports
these activities. Reports were given from the publication board leadership of
the ATLAS, CMS, and LHCb experiments and HEP open source software community
organizations (ROOT, Scikit-HEP, MCnet), and perspectives were given from
publishers (Elsevier, JOSS) and related tool providers (INSPIRE, Zenodo). This
paper summarizes key findings and recommendations from the workshop as
presented at the 26th International Conference on Computing in High Energy and
Nuclear Physics (CHEP 2023).","{'Daniel S. Katz', 'Graeme A. Stewart', 'Matthew Feickert', 'Elizabeth Sexton-Kennedy', 'Mark S. Neubauer'}",2024-01-04T17:55:08Z,2023-09-25 22:53:02+00:00
"a precise determination of the strong-coupling constant from the recoil
  of $z$ bosons with the atlas experiment at $\sqrt{s} = 8$ tev","The coupling constant of the strong force is determined from the
transverse-momentum distribution of $Z$ bosons produced in 8 TeV proton-proton
collisions at the LHC and recorded by the ATLAS experiment. The $Z$-boson cross
sections are measured in the full phase space of the decay leptons using 15.3
million electron and muon pairs, in a dataset collected in 2012 and
corresponding to an integrated luminosity of 20.2 fb$^{-1}$. The analysis is
based on predictions evaluated at third order in perturbative QCD, supplemented
by the resummation of logarithmically enhanced contributions in the low
transverse-momentum region of the lepton pairs. The determined value of the
strong coupling at the reference scale corresponding to the $Z$-boson mass is
$\alpha_\text{s}(m_Z) = 0.1183 \pm 0.0009$. This is the most precise
experimental determination of $\alpha_\text{s}(m_Z)$ achieved so far.",{'ATLAS Collaboration'},2023-09-22T16:31:44Z,2023-09-22 16:31:44+00:00
searching for dark neutrinos through exotic higgs decays at the ilc,"In this study we investigate the feasibility of detecting heavy dark
neutrinos ($N_d$) through exotic Higgs decays at the proposed International
Linear Collider (ILC), specifically in the channel of $e^+ e^- \to qq~ H$ with
$H\to \nu N_d \to \nu~lW \to \nu l~qq$. Analyses based on full detector
simulations of the ILD are performed at the center-of-mass energy of 250 GeV
for two different beam polarization schemes with a total integrated luminosity
of 2 $\mathrm{ab}^{-1}$. A range of dark neutrino masses between the $Z$ boson
and Higgs boson masses are studied. The $2\sigma$ significance reach for the
joint branching ratio of $BR(H\to\nu N_d)\cdot BR(N_d\to lW)$ is about 0.1%,
nearly independent of the dark neutrino masses, while the $5\sigma$ discovery
is possible at a branching ratio of $0.3\%$. Interpreting these results in
terms of constraints on the mixing parameters $|\varepsilon_{id}|^2$ between SM
neutrinos and the dark neutrino, it is expected to have a factor of 10
improvement from current constraints.","{'Masaya Ishino', 'Simon Thor', 'Junping Tian'}",2023-10-02T20:29:08Z,2023-09-20 12:26:46+00:00
detecting high-energy neutrinos from galactic supernovae with atlas,"We show that ATLAS, a collider detector, can measure the flux of high-energy
supernova neutrinos, which can be produced from days to months after the
explosion. Using Monte Carlo simulations for predicted fluxes, we find at most
$\mathcal{O}(0.1-1)$ starting events and $\mathcal{O}(10-100)$ throughgoing
events from a supernova 10 kpc away. Possible Galactic supernovae from
Betelgeuse and Eta Carinae are further analyzed as demonstrative examples. We
argue that even with limited statistics, ATLAS has the ability to discriminate
among flavors and between neutrinos and antineutrinos, making it an unique
neutrino observatory so far unmatched in this capability.","{'Alex Y. Wen', 'Kohta Murase', 'Ali Kheirandish', 'Carlos A. Argüelles'}",2024-01-17T02:51:09Z,2023-09-18 13:52:25+00:00
additional higgs bosons near 95 and 650 gev in the nmssm,"Hints for an additional Higgs boson with a mass of about 95 GeV originate
from LEP and searches in the diphoton channel by CMS and ATLAS. A search for
resonant production of SM plus BSM Higgs bosons in the diphoton plus bb channel
by CMS showed some excess for a 650 GeV resonance decaying into the SM Higgs
plus a 95 GeV Higgs boson. We investigate whether these phenomena can be
interpreted simultaneously within the NMSSM subject to the latest constraints
on couplings of the SM Higgs boson, on extra Higgs bosons from the LHC, and on
dark matter direct detection cross sections. We find that the hints for a 95
GeV Higgs boson in the diphoton channel by CMS and ATLAS and in the diphoton
plus bb channel by CMS can be fitted simultaneously within the 2 sigma level.","{'Ulrich Ellwanger', 'Cyril Hugonie'}",2023-12-01T16:53:55Z,2023-09-14 16:32:00+00:00
"analysis of final state lepton polarization-dependent observables in
  $h\to \ell^{+}\ell^{-} γ$ in the sm at loop level","Recently, the CMS and ATLAS collaborations have announced the results for
$H\rightarrow Z[\rightarrow \ell^{+}\ell^{-}]\gamma$ with $\ell=e$ or $\mu$
\cite{CMS:2022ahq,CMS:2023mku}, where $H\rightarrow Z\gamma$ is a sub-process
of $H\rightarrow \ell^{+} \ell^{-} \gamma$. This semi-leptonic Higgs decay
receives loop induced resonant $H\rightarrow Z[\rightarrow
\ell^{+}\ell^{-}]\gamma$ as well as non-resonant contributions. % as discussed
in \cite{Kachanovich:2021pvx}.
  To probe further features coming from these contributions to $H\rightarrow
\ell^{+} \ell^{-} \gamma$, we argue that the polarization of the final state
leptons is also an important parameter. We show that the contribution from the
interference of resonant and non-resonant terms plays an important role when
the polarization of final state lepton is taken into account, which is
negligible in the case of unpolarized leptons. For this purpose, we have
calculated the polarized decay rates and the longitudinal ($P_L$), normal
($P_N$) and transverse ($P_T$) polarization asymmetries. We find that these
asymmetries purely come from the loop contributions and are helpful to further
investigate the resonant and non-resonant nature of $H\rightarrow Z[\rightarrow
\ell^{+}\ell^{-}]\gamma$ decay. We observe that for $\ell=e,\mu$, the
longitudinal decay rate is highly suppressed around $m_{\ell\ell}\approx 60$GeV
when the final lepton spin is $-\frac{1}{2}$, dramatically increasing the
corresponding lepton polarization asymmetries. Furthermore, we analyze another
observable, the ratio of decay rates $R^{\ell\ell'}_{i\pm}$, where $\ell$ and
$\ell'$ refer to different final state lepton generations. Precise measurements
of these observables at the HL-LHC and the planned $e^{+}e^{-}$ can provide a
fertile ground to test not only the SM but also to examine the signatures of
possible NP beyond the SM.","{'Usman Hasan', 'Shahin Iqbal', 'M. Junaid', 'Ishtiaq Ahmed', 'A. Uzair', 'Bilal Tariq'}",2024-01-24T07:41:02Z,2023-09-14 06:10:26+00:00
cdf w mass anomaly revisited,"The CDF, ATLAS and LHCb have released the measurements on the W boson mass
$m_W$ at $\sqrt{S}=1.96, 7, 13 TeV$, respectively. The measured values show the
declining tendency, namely $m_W$ decreases with the increment of the collider
energy. If the declining tendency is confirmed, it might be the signal of
metric field at high energy colliders. In this paper, we propose a model to
account for such tendency and explore the properties of the model.",{'Shou-hua Zhu'},2023-10-13T11:05:26Z,2023-09-14 00:11:20+00:00
taking aim at the wino-higgsino plane with the lhc,"In this work we explore multiple search strategies for higgsinos and mixed
higgsino-wino states in the MSSM and project the results onto the $(\mu,M_2)$
plane. Assuming associated production of higgsino-like pairs with a $W/Z$
boson, we develop a search in a channel characterized by a hadronically tagged
vector boson accompanied by missing energy. We use as our template an ATLAS
search for dark matter produced in association with a hadronically decaying
vector boson, but upgrade the search by implementing a joint likelihood
analysis, binning the missing transverse energy distribution, which greatly
improves the search sensitivity. For higgsino-like states (more than 96%
admixture) we find sensitivity to masses up to 550 GeV. For well-mixed
higgsino-wino states (70-30% higgsino) we still find sensitivities above 300
GeV. Using this newly proposed search, we draw a phenomenological map of the
wino-higgsino parameter space, recasting several complementary searches for
disappearing tracks, soft leptons, trileptons, and hadronic diboson events in
order to predict LHC coverage of the $(\mu,M_2)$ mass plane at integrated
luminosities of up to $3\,\text{ab}^{-1}$. Altogether, the full run of the
HL-LHC can exclude much of the ""natural"" ($\mu,M_2 <$ 500 GeV) wino-higgsino
parameter space.","{'Junichiro Kawamura', 'Humberto Gilmer', 'Linda M. Carpenter', 'Taylor Murphy'}",2024-01-11T16:22:03Z,2023-09-13 18:00:00+00:00
searching for sbottom lsp at the lhc,"Assuming that the sbottom is the lightest supersymmetric particle (LSP), we
carry out an analysis of the relevant signals expected at the LHC. The
discussion is established in the framework of the $\mu\nu$SSM, where the
presence of $R$-parity violating couplings involving right-handed neutrinos
solves simultaneously the $\mu$-problem and the accommodation of neutrino
masses and mixing angles. The sbottoms are pair produced at the LHC, decaying
to a lepton and a top quark or a neutrino and a bottom quark. The decays can be
prompt or displaced, depending on the regions of the parameter space of the
model. We focus the analysis on the right sbottom LSP, since the left sbottom
is typically heavier than the left stop because of the D-term contribution. We
compare the predictions of this scenario with ATLAS and CMS searches for prompt
and long-lived particles. To analyze the parameter space we sample the
$\mu\nu$SSM for a right sbottom LSP, paying special attention to reproduce the
current experimental data on neutrino and Higgs physics, as well as flavor
observables. For displaced (prompt) decays, our results translate into lower
limits on the mass of the right sbottom LSP of about $1041$ GeV ($1070$ GeV).
The largest possible value found for the decay length is about $3.5$ mm.","{'Paulina Knees', 'Iñaki Lara', 'Carlos Muñoz', 'Essodjolo Kpatcha', 'Daniel E. López-Fogliani'}",2024-01-24T13:13:49Z,2023-09-12 13:05:06+00:00
an introduction to the parton and hadron cascade model paciae 3.0,"We introduce a parton and hadron cascade model PACIAE 3.0 based on PYTHIA
6.428 and the PACIAE 2.2 program series. The simulation framework of C-, B-,
and A-loops are designed for the high energy ($\sqrt{s_{NN}}\geq 3$ GeV) and
low energy ($\sqrt{s_{NN}}<3$ GeV) nuclear collisions, respectively, in PACIAE
3.0. In the C-loop simulation, the parton-parton inelastic scattering processes
are added in the partonic rescattering process. The single string structure and
multiple string interaction mechanism have been introduced investigating the
strangeness enhancement in C- and B-loop. An improved mapping relation between
the centrality percentage definition and the impact parameter definition is
proposed responding the observation of $b_{max}\approx 20$ fm from ALICE,
ATLAS, and CMS collaborations. We have extensively modified the
phenomenological coalescence hadronization model. The PACIAE 3.0 model
simulated results of particle yield, transverse momentum distribution, and
rapidity distribution well reproduce, respectively, the experimental data
measured at FOPI, E895, RHIC, and LHC energies.","{'Zhi-Lei She', 'Liang Zheng', 'Dai-Mei Zhou', 'Gao-Chan Yong', 'Xiao-Mei Li', 'An-Ke Lei', 'Gang Chen', 'Yu-Liang Yan', 'Ben-Hao Sa', 'Xu Cai'}",2023-09-10T18:34:05Z,2023-09-10 18:34:05+00:00
"search for nonextensivity in electron-proton interactions at $\sqrt{s}$
  = 300 gev","Study of canonical entropy in electron-proton interactions at $\sqrt{s}$ =
300 GeV is presented. The precision data collected by the H1 experiment at the
HERA in different ranges of invariant hadronic mass $W$ and the squared
four-momentum exchange $Q^{2}$ in $ep$ interactions have been analyzed in the
ensemble theory approach. The canonical partition function relates to the
multiplicity distribution which is often studied in collider experiments. We
use the canonical ensemble partition function to explore the dynamics of hadron
production in $ep$ interactions by devising different methods to find the
entropic parameter and the collision temperature. The inverse slope of the
transverse momentum spectrum of produced hadrons also relates to the
temperature. In the recent past, the CMS, ATLAS and ALICE experiments at the
LHC have studied the charged hadron transverse momentum and particle
distributions in proton-proton and proton-nucleus interactions by using the
Tsallis function within this approach. A detailed investigation into the role
of the system volume and relation amongst different dynamical parameters
reveals interesting results.","{'Soumya Sarkar', 'R. Aggarwal', 'M. Kaur'}",2024-02-27T17:56:02Z,2023-09-07 13:38:54+00:00
"'fat-brane' universal extra dimension model confronted with the atlas
  multi-jet and photonic searches at 13 tev lhc","The current status of `fat-brane' minimal Universal Extra Dimensions
(fat-mUED) is studied in the light of ATLAS experiment's recent reports. At the
Large Hadron Collider (LHC) color charged first level Kaluza-Klein (KK)
particles (first level excited quarks and gluons) can be abundantly
pair-produced due to conserved quantity, viz., KK-parity, and strong
interaction. The cascade decay of these particles to one or more Standard Model
(SM) particle(s) and lighter first level KK particle(s) stops after producing
the lightest excited massive state, named as the lightest KK particle (LKP).
With the presence of gravity induced decays, stability of the LKP is lost and
it may decay to photon or Z-boson by radiating KK-excited gravitons, hence
leading to final state with photon(s) at the LHC. A variant signal topology is
established when pair-produced first level colored KK particles undergo direct
decay to an associated SM partner along with KK-excitations of graviton; thus
leading to a signal with two hard jets and substantial missing energy. The
ATLAS experiment lately reported two searches at 13 TeV LHC with 139
inverse-femtobarn of data; (i) multi-jet and (ii) photon and jets with missing
energy. In both searches, the results showed no substantial deviation from the
number of background events of the SM. Provided the absence of any number of
excess events in both searches we constrained the parameters of the fat-mUED
model, viz., the higher-dimensional Planck mass and the compactification scale.","{'Esra Akyumuk', 'Durmus Karabacak'}",2023-09-01T17:01:41Z,2023-09-01 17:01:41+00:00
third order qcd predictions for fiducial w-boson production,"Measurements of W-boson production at the LHC have reached percent-level
precision and impose challenging demands on theoretical predictions. Such
predictions directly limit the precision of measurements of fundamental
quantities such as the W-boson mass and the weak mixing angle. A dominant
source of uncertainty in predictions is from higher-order QCD effects. We
present a calculation of W-boson production at the level of $\alpha_s^3$ at
fixed order and including transverse-momentum resummation. We further show
predictions for a direct comparison with low-pileup ATLAS transverse-momentum
and fiducial cross-section measurements at $\sqrt{s}=5.02\text{ TeV}$. We
discuss in detail the impact of modern PDFs. Our calculation including the
matching to W+jet production at NNLO will be publicly available the upcoming
CuTe-MCFM release and allows for theory-data comparison at the state-of-the-art
level.","{'Tobias Neumann', 'John Campbell'}",2023-08-29T15:23:22Z,2023-08-29 15:23:22+00:00
"h(650) -> w+w-/zz predicts h++ -> w+w+ and h+ -> zw+, as indicated by
  lhc data","Several indications for neutral scalars are observed at the LHC. One of them,
a broad resonance peaked at about 650 GeV which we call H(650), was first
observed by an outsider combining published histograms from ATLAS and CMS on ZZ
-> 4 leptons searches, and this combination shows a local significance close to
4 s.d. Since then, CMS has reported two other indications at the same mass,
with similar local significances: H->WW->2leptons+neutrinos and
H(650)->bbh(125) where mbb~90 GeV and h(125)->gam gam. ATLAS has completed its
analysis of ZZ->4 leptons from which we infer an indication for H(650) with 3.5
s.d. significance. Combining these three results, one gets a global statistical
significance above 6 s.d. H(650) has a coupling to WW similar to h(125) and
therefore we argue that a sum rule (SR) required by unitarity for W+W-
scattering implies that there should be a compensating effect from a doubly
charged scalar H++, with a large coupling to W+W+. We therefore predict that
this mode should become visible through the vector boson fusion process
W+W+->H++, naturally provided by LHC. A recent indication for H++(450)->W+W+
from ATLAS allows a model independent interpretation of this result through the
SR constraint which gives BR(H++->W+W+)~10%, implying the occurrence of
additional decay modes H+W+ and H+H+ from one or several light H+ with masses
below mH++ - mW or MH++/2, that is mH+ < 370 GeV or 225 GeV. A similar analysis
is performed for H+(375)->ZW, indicated by ATLAS and CMS. Both channels suggest
a scalar field content similar to the Georgi Machacek model with triplets, at
variance with the models usually considered. Implications on precision
measurements are presented followed by a complete extraction of the GM
parameters. An alternate interpretation of the 650 GeV resonance as a tensor is
also briefly discussed. Implications for precision measurements are presented.","{'Alain Le Yaouanc', 'François Richard'}",2024-03-05T15:56:10Z,2023-08-23 15:02:28+00:00
